,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
180,Miami (OH),6,3,3,.500,-4.18,1.62,,0,1,,3,1,,0,2,,404,418,,240,144,356,.404,49,140,.350,67,91,.736,55,207,63,29,21,56,101
181,Michigan State,7,6,1,.857,8.62,-0.09,,0,1,,5,0,,1,1,,574,513,,280,213,454,.469,63,182,.346,85,114,.746,84,292,157,37,37,99,124
182,Michigan,6,6,0,1.000,20.16,5.32,,1,0,,6,0,,0,0,,494,405,,245,181,351,.516,45,126,.357,87,113,.770,56,245,110,24,33,77,97
183,Middle Tennessee,6,2,4,.333,-3.92,1.48,,0,0,,2,2,,0,0,,377,385,,240,133,358,.372,41,137,.299,70,98,.714,63,221,61,53,17,105,116
184,Milwaukee,4,3,1,.750,-1.26,-6.76,,2,0,,0,0,,3,1,,288,266,,160,98,222,.441,24,78,.308,68,90,.756,34,146,46,22,11,42,71
185,Minnesota,8,7,1,.875,13.01,4.01,,0,1,,7,0,,0,1,,660,588,,325,209,491,.426,55,183,.301,187,254,.736,89,308,130,57,44,95,152
186,Mississippi State,7,4,3,.571,7.67,2.38,,0,0,,4,0,,0,0,,497,460,,290,183,406,.451,41,112,.366,90,154,.584,99,279,85,34,31,96,126
187,Mississippi Valley State,7,0,7,.000,-38.79,6.35,,0,0,,0,0,,0,7,,401,717,,280,147,438,.336,79,235,.336,28,51,.549,47,197,72,37,16,121,135
188,Mississippi,5,4,1,.800,12.44,-4.56,,0,0,,3,0,,1,1,,358,273,,200,133,294,.452,25,96,.260,67,97,.691,61,194,68,40,19,71,92
189,Missouri-Kansas City,8,4,4,.500,-9.21,2.05,,0,0,,3,0,,0,3,,678,497,,320,273,480,.569,56,137,.409,76,130,.585,72,279,178,83,21,106,184
190,Missouri State,2,2,0,1.000,10.23,-16.77,,0,0,,2,0,,0,0,,167,131,,80,64,124,.516,17,51,.333,22,39,.564,21,85,40,8,9,26,32
191,Missouri,5,5,0,1.000,24.89,13.49,,0,0,,3,0,,1,0,,396,339,,200,139,283,.491,35,113,.310,83,109,.761,50,193,71,27,10,67,98
192,Monmouth,3,1,2,.333,-1.94,0.73,,1,1,,1,2,,0,0,,242,250,,120,82,192,.427,29,71,.408,49,70,.700,34,101,44,30,10,46,68
193,Montana State,4,2,2,.500,-10.23,-3.90,,0,0,,1,0,,1,2,,329,308,,165,107,236,.453,36,91,.396,79,102,.775,29,141,59,18,12,52,82
194,Montana,7,3,4,.429,3.01,7.21,,0,2,,2,0,,1,4,,495,429,,280,182,386,.472,34,101,.337,97,132,.735,57,248,92,39,12,100,139
195,Morehead State,9,4,5,.444,-11.39,-0.96,,1,2,,4,1,,0,3,,588,613,,360,215,493,.436,60,197,.305,98,146,.671,100,329,118,32,43,160,145
196,Morgan State,4,2,2,.500,1.54,-0.46,,0,0,,1,2,,1,0,,307,301,,160,106,231,.459,33,79,.418,62,78,.795,34,133,67,36,13,67,80
197,Mount St. Mary's,5,2,3,.400,5.07,8.47,,1,0,,1,0,,1,2,,307,324,,200,114,264,.432,34,109,.312,45,64,.703,36,158,53,23,19,65,72
