,Date,visitor_neutral,PTS,home_neutral,PTS
9,2020-11-28,Cal State Northridge,61,Air Force,66
10,2020-11-28,Carver College,37,Wofford,111
11,2020-11-28,Central Michigan,72,UIC,74
12,2020-11-28,Coastal Georgia,79,Georgia Southern,91
13,2020-11-28,Drexel,74,Pitt,83
14,2020-11-28,Eastern Washington,68,Washington State,71
15,2020-11-28,George Mason,84,Howard,70
16,2020-11-28,High Point,75,Elon,76
17,2020-11-28,Idaho State,61,UC-Davis,70
18,2020-11-28,Lamar,73,Lipscomb,76
19,2020-11-28,Limestone,59,College of Charleston,99
20,2020-11-28,LSU,81,Saint Louis,85
21,2020-11-28,Loyola Marymount,73,Minnesota,88
22,2020-11-28,UMBC,80,Saint Francis (PA),65
23,2020-11-28,UMass-Lowell,72,Illinois State,82
24,2020-11-28,Mississippi Valley State,61,Wyoming,97
25,2020-11-28,Mobile,41,Florida Atlantic,83
26,2020-11-28,Montana,62,USC,76
27,2020-11-28,Navy,73,Mount St. Mary's,67
28,2020-11-28,Nicholls State,57,Santa Clara,73
29,2020-11-28,Norfolk State,57,Radford,54
30,2020-11-28,North Carolina Wesleyan,68,Coastal Carolina,117
31,2020-11-28,North Dakota State,57,Nebraska,79
32,2020-11-28,North Texas,54,Arkansas,69
33,2020-11-28,Northwestern State,71,Texas-Arlington,80
34,2020-11-28,Our Lady of the Lake,64,Rice,103
35,2020-11-28,Regis,66,Denver,82
36,2020-11-28,Rhode Island,84,South Florida,68
37,2020-11-28,Rogers State,63,Oral Roberts,93
38,2020-11-28,South Carolina,62,Liberty,78
39,2020-11-28,South Carolina State,78,Bowling Green State,101
40,2020-11-28,USC Upstate,63,Furman,91
41,2020-11-28,Southeast Missouri State,71,UMKC,66
42,2020-11-28,Southeastern Louisiana,59,Alabama-Birmingham,84
43,2020-11-28,Southern Miss,51,Jacksonville,66
44,2020-11-28,St. Katherine,47,Southern Utah,95
45,2020-11-28,St. Louis College,45,SIU-Edwardsville,80
46,2020-11-28,UTSA,64,Texas-Rio Grande Valley,81
47,2020-11-28,Texas Southern,65,Oklahoma State,85
48,2020-11-28,Texas State,75,Texas A&M-Corpus Christi,63
49,2020-11-28,Toccoa Falls,44,Kennesaw State,106
50,2020-11-28,Troy,50,UNC Wilmington,73
51,2020-11-28,Tulsa,65,TCU,70
52,2020-11-28,Utah Valley,60,BYU,82
