,Date,Home,Away,Line
21,2020-11-27 14:00:00,Texas Tech,Sam Houston St.,-27
22,2020-11-27 15:00:00,Oakland,Bradley,15.5
23,2020-11-27 15:00:00,Syracuse,Bryant,-22.5
24,2020-11-27 15:00:00,Pepperdine,UCLA,7
25,2020-11-27 15:00:00,Houston,Boise St.,-12.5
26,2020-11-27 15:00:00,William Jessup,Seattle,
27,2020-11-27 15:00:00,Maryland,Navy,-16
28,2020-11-27 15:00:00,Charlotte,East Carolina,
29,2020-11-27 15:30:00,UNC Asheville,UNC Wilmington,-6
30,2020-11-27 16:00:00,Louisville,Seton Hall,-5.5
31,2020-11-27 16:00:00,Georgia St.,Toccoa Falls,
32,2020-11-27 16:00:00,Santa Clara,UC Davis,-7.5
33,2020-11-27 16:00:00,Saint Peter's,La Salle,-2.5
34,2020-11-27 16:00:00,Marshall,Arkansas St.,-14
35,2020-11-27 16:00:00,Northern Iowa,Utah St.,-2.5
36,2020-11-27 16:00:00,Texas-San Antonio,Texas-Permian Basin,
37,2020-11-27 16:00:00,North Carolina A&T,Chicago St.,-11.5
38,2020-11-27 16:30:00,Buffalo,Towson,-8
39,2020-11-27 17:00:00,Arizona,Grambling State,-30
40,2020-11-27 17:00:00,Iowa,Southern,-28.5
41,2020-11-27 17:00:00,Queens University of Charlotte,Howard,
42,2020-11-27 17:00:00,Kansas City,Greenville,
43,2020-11-27 18:00:00,Morehead St.,Richmond,21
44,2020-11-27 18:00:00,Appalachian St.,Carver Bible College,
45,2020-11-27 18:30:00,Saint Mary's,South Dakota State,1.5
46,2020-11-27 19:00:00,San Diego St.,UC Irvine,-12.5
47,2020-11-27 19:00:00,Little Rock,UNC Greensboro,5.5
48,2020-11-27 19:00:00,Cal Poly SLO,Bethesda,
49,2020-11-27 19:00:00,Vanderbilt,Valparaiso,-6
50,2020-11-27 19:00:00,Idaho State,Nicholls State,8
51,2020-11-27 19:00:00,Rutgers,Fairleigh Dickinson,-25
52,2020-11-27 19:00:00,Wake Forest,Longwood,-20.5
53,2020-11-27 19:00:00,South Alabama,Mobile,
54,2020-11-27 19:30:00,Louisiana Tech,Texas-Arlington,-6.5
55,2020-11-27 19:30:00,Marquette,Eastern Illinois,-14.5
56,2020-11-27 20:00:00,Georgia Tech,Mercer,-12
57,2020-11-27 20:00:00,Connecticut,Hartford,-23.5
58,2020-11-27 20:30:00,Kansas State,Colorado,5
59,2020-11-27 21:00:00,Wisconsin,Arkansas-Pine Bluff,-37.5
60,2020-11-27 21:00:00,Memphis,VCU,-5.5
61,2020-11-27 15:00:00,Florida State,Gardner-Webb,
62,2020-11-27 18:00:00,Kentucky,Detroit Mercy,
63,2020-11-27 18:00:00,Pacific,Fresno St.,-4
64,2020-11-27 18:00:00,Arizona Christian,New Mexico St.,
0,2020-11-28 11:00:00,Nebraska Omaha,Abilene Christian,7
1,2020-11-28 12:00:00,Queens University of Charlotte,Belmont,
2,2020-11-28 12:00:00,Nebraska,North Dakota State,-9.5
3,2020-11-28 12:00:00,Bowling Green,South Carolina State,-26
4,2020-11-28 13:00:00,Penn St.,VMI,-20
5,2020-11-28 13:00:00,Charleston,Limestone,
6,2020-11-28 13:00:00,Pittsburgh,Drexel,-10
7,2020-11-28 13:00:00,UNC Wilmington,Troy,2.5
8,2020-11-28 13:00:00,Illinois St.,Massachusetts Lowell,-1.5
9,2020-11-28 14:00:00,Rice,Our Lady of the Lake,
10,2020-11-28 14:00:00,Jacksonville,Southern Miss,-1.5
11,2020-11-28 14:00:00,Wofford,Carver Bible College,
12,2020-11-28 14:00:00,Duke,Coppin St.,-39.5
13,2020-11-28 14:00:00,Furman,South Carolina Upstate,-18.5
14,2020-11-28 14:00:00,Florida Atlantic,Mobile,
15,2020-11-28 15:00:00,St. Francis (PA),UMBC,-2.5
16,2020-11-28 15:00:00,Howard,George Mason,20
17,2020-11-28 15:00:00,Texas A&M-CC,Texas State,7
18,2020-11-28 15:00:00,UAB,Southeastern Louisiana,-18.5
19,2020-11-28 15:00:00,Mount St. Mary's,Navy,2
20,2020-11-28 15:00:00,Buffalo,Army,-11
21,2020-11-28 15:00:00,Portland,William Jessup,
22,2020-11-28 15:00:00,Southern Utah,St. Katherine,
23,2020-11-28 15:00:00,Saint Louis,Louisiana State,-2.5
24,2020-11-28 15:00:00,Denver,Regis University,
25,2020-11-28 16:00:00,Air Force,CSU Northridge,-3.5
26,2020-11-28 16:00:00,Coastal Carolina,North Carolina Wesleyan,
27,2020-11-28 16:00:00,Liberty,South Carolina,7.5
28,2020-11-28 16:00:00,UNC Asheville,Western Carolina,5
29,2020-11-28 16:00:00,Kennesaw St.,Toccoa Falls,
30,2020-11-28 16:00:00,UC Davis,Idaho State,-9
31,2020-11-28 16:00:00,Texas Rio Grande Valley,Texas-San Antonio,5.5
32,2020-11-28 16:00:00,Texas-Arlington,Northwestern St.,-8
33,2020-11-28 16:00:00,Elon University,High Point,-7.5
34,2020-11-28 16:00:00,Wyoming,Mississippi Valley State,-32
35,2020-11-28 16:00:00,Georgia Southern,Coastal Georgia,
36,2020-11-28 17:00:00,Lipscomb,Lamar,-8.5
37,2020-11-28 17:00:00,Kansas City,SE Missouri St.,
38,2020-11-28 17:30:00,South Florida,Rhode Island,2
39,2020-11-28 18:00:00,Arkansas,North Texas,-8
40,2020-11-28 18:00:00,Minnesota,Loyola Marymount,-15
41,2020-11-28 19:00:00,Illinois-Chicago,Central Michigan,-2
42,2020-11-28 19:00:00,Radford,Norfolk State,3
43,2020-11-28 19:00:00,Old Dominion,William & Mary,-12.5
44,2020-11-28 19:00:00,Santa Clara,Nicholls State,-3.5
45,2020-11-28 19:30:00,Oklahoma State,Texas Southern,-19.5
46,2020-11-28 19:30:00,Texas Christian,Tulsa,-3.5
47,2020-11-28 20:00:00,Oral Roberts,Rogers State,
48,2020-11-28 20:00:00,Michigan St,Notre Dame,-9.5
49,2020-11-28 20:00:00,Villanova,Virginia Tech,-9.5
50,2020-11-28 20:00:00,Baylor,UL Lafayette,-21
51,2020-11-28 20:00:00,Grand Canyon,Benedictine University (AZ),
52,2020-11-28 20:30:00,SIU Edwardsville,St. Louis College of Pharmacy,
53,2020-11-28 21:00:00,Brigham Young,Utah Valley,-19.5
54,2020-11-28 21:00:00,Southern California,Montana,-11
55,2020-11-28 23:00:00,Washington St.,Eastern Washington,-5.5
56,2020-11-28 14:00:00,Chattanooga,Northern Kentucky,-2
57,2020-11-28 15:00:00,Bellarmine,Transylvania,
58,2020-11-28 19:00:00,Western Kentucky,Little Rock,
59,2020-11-28 19:00:00,Tarleton State,Howard Payne,
0,2020-11-29 12:00:00,Ohio St.,Massachusetts Lowell,-27
1,2020-11-29 13:00:00,Tulsa,South Carolina,2.5
2,2020-11-29 13:00:00,Kentucky,Richmond,-7
3,2020-11-29 13:00:00,Iowa State,Arkansas-Pine Bluff,-32.5
4,2020-11-29 14:00:00,Incarnate Word,Our Lady of the Lake,
5,2020-11-29 14:00:00,Tulane,Lipscomb,1.5
6,2020-11-29 14:00:00,Louisiana Tech,Northwestern St.,-16
7,2020-11-29 14:00:00,Maryland,Mount St. Mary's,-20.5
8,2020-11-29 14:00:00,Georgia,Florida A&M,-21
9,2020-11-29 14:30:00,Sam Houston St.,Boise St.,14
10,2020-11-29 15:00:00,Air Force,Seattle,-2.5
11,2020-11-29 15:00:00,Portland,Northwest University,
12,2020-11-29 15:00:00,Texas A&M,New Orleans,-20.5
13,2020-11-29 15:00:00,Samford,Alabama A&M,-7.5
14,2020-11-29 15:30:00,Texas Christian,Liberty,-5
15,2020-11-29 16:00:00,Morehead St.,Arkansas St.,3.5
16,2020-11-29 16:00:00,Rutgers,Hofstra,-14
17,2020-11-29 16:00:00,Arizona State,Houston Baptist,-37
18,2020-11-29 16:30:00,Creighton,North Dakota State,-23.5
19,2020-11-29 17:00:00,Murray St.,Greenville,
20,2020-11-29 17:00:00,South Alabama,Jacksonville St.,-3
21,2020-11-29 17:30:00,Houston,Texas Tech,-3
22,2020-11-29 17:30:00,Rhode Island,San Francisco,-2
23,2020-11-29 18:00:00,Washington,Baylor,11.5
24,2020-11-29 18:00:00,Louisville,Prairie View A&M,-26
25,2020-11-29 18:00:00,Michigan,Oakland,-31
26,2020-11-29 18:00:00,Miami-Florida,North Florida,-25
27,2020-11-29 19:00:00,James Madison,Radford,-3.5
28,2020-11-29 19:00:00,UC Santa Barbara,St. Katherine,
29,2020-11-29 19:30:00,Arizona Christian,New Mexico St.,
30,2020-11-29 20:00:00,Virginia Tech,South Florida,-7.5
31,2020-11-29 18:30:00,Butler,Eastern Illinois,
32,2020-11-29 20:30:00,UNC Greensboro,Winthrop,-4.5
0,2020-11-30 11:00:00,Western Carolina,Piedmont,
1,2020-11-30 12:00:00,Davidson,Texas,7.5
2,2020-11-30 14:30:00,Providence,Indiana,2
3,2020-11-30 15:00:00,Jacksonville St.,Mobile,
4,2020-11-30 16:00:00,Duquesne,Little Rock,-5.5
5,2020-11-30 17:00:00,CSU Northridge,Seattle,2
6,2020-11-30 17:00:00,Campbell,St. Andrews,
7,2020-11-30 18:00:00,Appalachian St.,Bowling Green,3.5
8,2020-11-30 18:00:00,Boston College,St. John's,-2.5
9,2020-11-30 19:00:00,Tennessee Tech,Chattanooga,7
10,2020-11-30 19:00:00,UNLV,North Carolina,13.5
11,2020-11-30 19:00:00,Xavier,Eastern Kentucky,-16
12,2020-11-30 19:00:00,Mercer,Georgia St.,3
13,2020-11-30 19:00:00,Central Florida,Auburn,-1.5
14,2020-11-30 19:00:00,Stetson,Emmanuel,
15,2020-11-30 19:00:00,Hofstra,Fairleigh Dickinson,-12.5
16,2020-11-30 19:30:00,California,Nicholls State,-8
17,2020-11-30 20:00:00,Minnesota,Loyola Marymount,-13.5
18,2020-11-30 20:00:00,Southern Methodist,Texas A&M-CC,-22
19,2020-11-30 20:00:00,Mississippi State,Texas State,-6.5
20,2020-11-30 20:00:00,Kansas State,Kansas City,-9.5
21,2020-11-30 20:00:00,Louisiana State,Southeastern Louisiana,-27.5
22,2020-11-30 21:00:00,Seton Hall,Iona,-20
23,2020-11-30 21:00:00,Nevada,Pacific,-5.5
24,2020-11-30 21:00:00,Wyoming,Texas Southern,-10
25,2020-11-30 21:30:00,Alabama,Stanford,-2.5
26,2020-11-30 17:00:00,Kent St.,Purdue Fort Wayne,-5.5
27,2020-11-30 19:30:00,McNeese St.,Bacone,
28,2020-11-30 21:00:00,Fresno St.,UC Riverside,
29,2020-11-30 21:30:00,UCLA,Long Beach St.,-17.5
0,2020-12-01 13:30:00,Indiana,Texas,-2.5
1,2020-12-01 14:30:00,Brigham Young,Southern California,-3.5
2,2020-12-01 15:00:00,Purdue,Oakland,-21.5
3,2020-12-01 16:00:00,Washington,UC Riverside,-10
4,2020-12-01 16:00:00,New Hampshire,Bryant,-2.5
5,2020-12-01 16:00:00,Stanford,North Carolina,4
6,2020-12-01 16:00:00,Virginia,St. Francis (PA),-23
7,2020-12-01 17:00:00,East Carolina,North Carolina Wesleyan,
8,2020-12-01 17:00:00,Wisconsin,Green Bay,-25
9,2020-12-01 17:00:00,Creighton,Nebraska Omaha,-21.5
10,2020-12-01 17:00:00,VMI,Longwood,-5.5
11,2020-12-01 17:00:00,Hartford,Villanova,26
12,2020-12-01 17:30:00,New Mexico St.,Benedictine University (AZ),
13,2020-12-01 18:00:00,Saint Peter's,Stony Brook,-9
14,2020-12-01 18:00:00,Georgetown,Navy,-11
15,2020-12-01 18:00:00,Louisville,Western Kentucky,-4.5
16,2020-12-01 18:00:00,Morgan St.,Lincoln PA,
17,2020-12-01 19:00:00,Toledo,Cleveland St.,-8
18,2020-12-01 19:00:00,Marquette,Oklahoma State,-2.5
19,2020-12-01 19:00:00,Illinois-Chicago,Valparaiso,1.5
20,2020-12-01 19:00:00,Charleston Southern,North Carolina A&T,-2
21,2020-12-01 19:00:00,South Alabama,Emmanuel,
22,2020-12-01 19:00:00,Providence,Davidson,-1.5
23,2020-12-01 19:00:00,Dayton,Eastern Illinois,-14.5
24,2020-12-01 19:00:00,Florida International,Central Michigan,-4
25,2020-12-01 19:30:00,Stephen F. Austin,Le Tourneau,
26,2020-12-01 19:30:00,Duke,Michigan St,-4
27,2020-12-01 20:00:00,Bradley,Judson University,
28,2020-12-01 20:00:00,George Washington,Hampton,-12
29,2020-12-01 20:30:00,UNC Greensboro,Winthrop,-6
30,2020-12-01 20:30:00,Abilene Christian,Howard Payne,
31,2020-12-01 21:00:00,Grand Canyon,Mississippi Valley State,-33
32,2020-12-01 21:00:00,Nebraska,South Dakota,-14
33,2020-12-01 21:30:00,Alabama,UNLV,-11.5
34,2020-12-01 21:30:00,Kentucky,Kansas,-4
35,2020-12-01 22:00:00,Saint Mary's,Nicholls State,-14
36,2020-12-01 15:00:00,UNC Greensboro,Prairie View A&M,-14.5
0,2020-12-02 13:30:00,Stanford,Indiana,-1.5
1,2020-12-02 14:30:00,Florida,Army,-23.5
2,2020-12-02 16:00:00,North Carolina,Texas,1
3,2020-12-02 17:00:00,Pacific,Montana St.,-4.5
4,2020-12-02 17:00:00,Ohio St.,Morehead St.,-25
5,2020-12-02 17:00:00,Cincinnati,Lipscomb,-14.5
6,2020-12-02 17:00:00,Penn St.,VCU,-4
7,2020-12-02 17:00:00,South Florida,Florida Gulf Coast,-11.5
8,2020-12-02 17:00:00,Brigham Young,St. John's,-1.5
9,2020-12-02 17:00:00,Kent St.,Point Park,
10,2020-12-02 17:30:00,South Carolina Upstate,Eastern Kentucky,7.5
11,2020-12-02 18:00:00,Clemson,South Carolina State,-35
