,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
227,Northern Kentucky,25,18,7,.720,1.17,-4.48,10,3,10,2,8,5,1843,1633,,1010,648,1471,.441,214,675,.317,333,483,.689,286,930,359,200,52,326,448
228,Northwestern State,22,10,12,.455,-11.86,-6.07,7,6,6,4,4,8,1617,1653,,885,575,1316,.437,169,491,.344,298,411,.725,241,869,286,120,103,379,444
229,Northwestern,22,6,16,.273,6.19,8.92,1,11,4,8,1,7,1441,1501,,885,524,1249,.420,144,442,.326,249,333,.748,181,740,304,94,58,239,373
230,Notre Dame,24,15,9,.625,11.58,4.16,6,7,12,3,3,5,1802,1624,,970,640,1502,.426,236,681,.347,286,387,.739,251,917,407,139,93,234,298
231,Oakland,25,8,17,.320,-6.33,-1.37,3,9,3,5,3,10,1642,1733,,1010,571,1357,.421,149,505,.295,351,506,.694,256,894,333,150,73,353,398
232,Ohio State,23,15,8,.652,18.50,8.46,5,7,10,2,3,5,1647,1416,,920,562,1249,.450,198,522,.379,325,447,.727,228,853,321,108,87,305,402
233,Ohio,24,12,12,.500,-0.59,-0.23,4,7,8,5,3,5,1701,1632,,960,619,1387,.446,199,585,.340,264,387,.682,233,856,347,150,62,312,398
234,Oklahoma State,24,12,12,.500,10.60,9.35,2,9,6,6,4,5,1607,1577,,960,566,1371,.413,147,486,.302,328,456,.719,251,873,286,166,89,309,424
235,Oklahoma,23,15,8,.652,12.26,8.87,5,5,10,1,2,6,1630,1552,,920,573,1348,.425,169,522,.324,315,410,.768,182,841,276,142,88,253,303
236,Old Dominion,25,10,15,.400,0.78,0.38,6,6,8,4,2,8,1624,1614,,1005,601,1491,.403,136,484,.281,286,411,.696,297,982,256,176,81,301,427
237,Oral Roberts,24,12,12,.500,0.50,-0.40,5,6,9,1,3,11,1881,1744,,960,670,1522,.440,189,585,.323,352,467,.754,299,915,292,151,58,266,403
238,Oregon State,23,14,9,.609,9.57,3.83,4,7,9,3,3,5,1687,1555,,920,585,1259,.465,133,416,.320,384,515,.746,205,765,337,145,122,259,366
239,Oregon,24,18,6,.750,16.80,8.50,7,4,12,0,4,4,1820,1621,,990,665,1423,.467,198,517,.383,292,423,.690,262,863,344,190,73,294,427
240,Pacific,27,19,8,.704,3.28,-0.36,7,4,13,3,5,4,1890,1739,,1115,689,1529,.451,153,439,.349,359,539,.666,298,998,324,151,106,338,511
241,Penn State,24,19,5,.792,18.01,8.10,9,4,12,1,5,3,1861,1623,,960,667,1491,.447,195,582,.335,332,480,.692,265,933,355,195,125,280,423
242,Pennsylvania,19,12,7,.632,0.91,0.02,4,2,5,2,5,4,1426,1362,,765,531,1151,.461,161,501,.321,203,300,.677,154,701,291,110,63,246,292
243,Pepperdine,25,13,12,.520,2.03,2.35,6,5,8,3,5,6,1935,1943,,1010,657,1496,.439,203,567,.358,418,522,.801,240,835,376,153,84,311,460
244,Pittsburgh,24,15,9,.625,9.22,5.89,6,7,11,4,2,5,1602,1522,,965,562,1356,.414,131,432,.303,347,478,.726,288,839,305,184,86,285,368
245,Portland State,25,12,13,.480,-2.78,-1.39,6,7,7,2,4,11,1926,1880,,1000,713,1621,.440,150,467,.321,350,494,.709,365,945,323,206,106,322,458
246,Portland,26,9,17,.346,-6.25,1.46,1,10,7,7,2,6,1759,1872,,1050,631,1448,.436,173,502,.345,324,487,.665,188,851,358,146,98,358,428
247,Prairie View,23,12,11,.522,-4.69,-4.64,8,2,7,0,4,10,1629,1577,,925,582,1324,.440,99,329,.301,366,521,.702,224,744,306,207,56,345,490
248,Presbyterian,25,9,16,.360,-14.86,-6.12,6,6,6,4,3,10,1667,1815,,1010,597,1342,.445,155,488,.318,318,447,.711,229,853,312,152,49,374,462
249,Princeton,19,10,9,.526,-2.67,-1.73,5,1,5,4,3,4,1372,1343,,765,499,1063,.469,153,441,.347,221,314,.704,170,620,252,119,40,249,309
250,Providence,24,13,11,.542,11.02,6.81,6,5,9,3,3,5,1683,1582,,965,590,1457,.405,170,536,.317,333,485,.687,321,917,354,202,83,317,444
251,Purdue,25,14,11,.560,17.05,9.61,7,7,10,3,3,6,1732,1546,,1025,643,1499,.429,191,547,.349,255,388,.657,314,908,350,166,88,283,426
252,Quinnipiac,22,11,11,.500,-7.32,-6.78,6,6,7,4,3,6,1532,1544,,880,513,1226,.418,226,624,.362,280,363,.771,213,809,307,92,81,305,319
253,Radford,24,15,9,.625,-2.24,-3.64,10,2,7,2,7,6,1705,1578,,965,619,1345,.460,184,529,.348,283,450,.629,243,864,313,129,54,261,435
254,Rhode Island,24,18,6,.750,11.57,5.19,10,2,11,1,6,4,1793,1640,,965,638,1482,.430,136,420,.324,381,553,.689,291,942,304,208,91,293,413
255,Rice,25,12,13,.480,-4.18,-0.31,4,8,6,5,4,7,1864,1895,,1000,633,1449,.437,252,718,.351,346,490,.706,225,884,356,150,57,334,402
256,Richmond,23,17,6,.739,9.47,2.78,7,3,10,2,6,2,1727,1573,,930,625,1339,.467,186,509,.365,291,370,.786,156,763,348,187,60,249,356
257,Rider,23,14,9,.609,-3.44,-5.49,8,5,8,1,4,8,1671,1624,,920,586,1331,.440,150,447,.336,349,526,.663,263,876,304,157,57,328,387
258,Robert Morris,25,14,11,.560,-5.67,-6.00,10,2,7,2,6,9,1716,1668,,1000,633,1465,.432,209,582,.359,241,368,.655,266,852,411,160,43,330,423
259,Rutgers,24,17,7,.708,15.56,7.95,8,5,16,0,1,5,1694,1474,,965,640,1435,.446,129,437,.295,285,443,.643,299,988,316,162,114,305,390
260,Sacramento State,22,12,10,.545,-4.04,-2.64,5,8,8,2,3,8,1331,1274,,880,482,1205,.400,100,338,.296,267,369,.724,256,785,258,145,84,280,383
261,Sacred Heart,25,14,11,.560,-5.24,-7.70,7,5,5,4,8,6,1844,1741,,1000,646,1475,.438,187,574,.326,365,495,.737,306,997,332,130,98,353,400
262,Saint Francis (PA),24,16,8,.667,-3.46,-6.68,9,4,8,2,7,6,1874,1751,,965,667,1443,.462,155,421,.368,385,509,.756,267,866,280,168,59,307,404
263,Saint Joseph's,24,4,20,.167,-6.32,5.26,0,11,2,9,2,8,1669,1947,,965,572,1480,.386,220,731,.301,305,435,.701,271,884,303,113,71,331,418
264,Saint Louis,24,17,7,.708,7.54,3.06,6,5,11,3,4,3,1707,1591,,975,624,1428,.437,135,406,.333,324,555,.584,314,955,331,184,102,300,446
265,Saint Mary's (CA),26,20,6,.769,12.30,4.18,7,4,11,3,5,2,1979,1725,,1070,705,1466,.481,222,537,.413,347,467,.743,211,846,327,176,57,267,418
266,Saint Peter's,22,11,11,.500,-4.78,-5.64,8,5,7,3,4,8,1458,1439,,885,488,1212,.403,140,402,.348,342,477,.717,279,830,234,172,95,373,466
267,Sam Houston State,24,15,9,.625,-2.65,-5.70,8,5,10,2,5,7,1928,1731,,985,694,1516,.458,192,543,.354,348,456,.763,239,826,392,226,74,332,502
268,Samford,26,8,18,.308,-11.97,-0.32,2,10,6,6,2,12,1923,2094,,1050,684,1552,.441,168,496,.339,387,532,.727,271,947,299,177,82,416,438
269,San Diego State,25,25,0,1.000,19.44,2.86,14,0,13,0,9,0,1901,1459,,1000,680,1437,.473,222,574,.387,319,422,.756,243,901,383,169,75,273,428
270,San Diego,26,9,17,.346,-3.06,3.14,2,9,6,7,3,7,1714,1843,,1055,620,1506,.412,167,531,.315,307,471,.652,240,889,325,151,87,388,472
271,San Francisco,26,16,10,.615,7.48,3.44,5,6,10,5,5,5,1978,1826,,1050,697,1562,.446,237,700,.339,347,477,.727,274,933,307,179,84,328,464
272,San Jose State,24,7,17,.292,-6.90,4.71,3,9,6,7,1,9,1679,1921,,960,568,1431,.397,190,638,.298,353,496,.712,237,856,326,139,87,336,433
273,Santa Clara,25,18,7,.720,2.84,-0.51,5,5,15,2,3,5,1935,1766,,1005,690,1470,.469,199,548,.363,356,483,.737,200,878,402,174,91,349,513
274,Seattle,24,12,12,.500,-4.16,-3.89,5,4,7,4,3,7,1790,1728,,980,601,1494,.402,169,552,.306,419,546,.767,257,867,265,140,81,260,481
